ID,LAT,LON,NAME,Total Days_Before,Missing Days_Before,Missing %_Before,Distance_to_Coast_km_Before,Region_Before,MissingCat_Before,Total Days_After,Missing Days_After,Missing %_After,Distance_to_Coast_km_After,Region_After,MissingCat_After
US1CTFR0002,41.423,-73.5187,DANBURY 2.8 WNW,12.0,12.0,100.0,89.95258743234672,Rural,High,12.0,7.0,58.33,89.95258743234672,Rural,High
US1CTFR0003,41.1486,-73.4591,NEW CANAAN 1.9 ENE,12.0,12.0,100.0,67.47863971839907,Rural,High,12.0,12.0,100.0,67.47863971839907,Rural,High
US1CTFR0005,41.1028,-73.4893,DARIEN 3.6 N,12.0,3.0,25.0,62.03503125045718,Rural,High,12.0,12.0,100.0,62.03503125045718,Rural,High
US1CTFR0009,41.4406,-73.3904,BROOKFIELD 3.3 SSE,12.0,0.0,0.0,96.91781648557661,Rural,Low,12.0,0.0,0.0,96.91781648557661,Rural,Low
US1CTFR0012,41.1306,-73.5961,STAMFORD 3.3 NW,12.0,12.0,100.0,58.68871539305563,Rural,High,12.0,12.0,100.0,58.68871539305563,Rural,High
US1CTFR0016,41.4017,-73.481,DANBURY 0.5 W,12.0,12.0,100.0,89.34177168998792,Rural,High,,,,,,
US1CTFR0020,41.1328,-73.3003,WESTPORT 2.5 ENE,12.0,1.0,8.33,75.97759060737012,Rural,Low,12.0,3.0,25.0,75.97759060737012,Rural,High
US1CTFR0063,41.2113,-73.4693,WILTON 1.9 NW,12.0,12.0,100.0,72.23900227633409,Rural,High,12.0,12.0,100.0,72.23900227633409,Rural,High
US1CTHR0005,41.9563,-72.573,ENFIELD 1.5 SE,12.0,1.0,8.33,183.60361579313584,Rural,Low,12.0,0.0,0.0,183.60361579313584,Rural,Low
US1CTHR0006,41.6926,-72.6909,WETHERSFIELD 1.2 WSW,12.0,4.0,33.33,155.4926658129081,Rural,High,12.0,0.0,0.0,155.4926658129081,Rural,Low
US1CTHR0007,41.7476,-72.5519,CENTRAL MANCHESTER 2.7 SW,12.0,11.0,91.67,168.0343691163126,Rural,High,12.0,11.0,91.67,168.0343691163126,Rural,High
US1CTHR0008,42.0244,-72.8207,NORTH GRANBY 1.3 ENE,12.0,0.0,0.0,177.12291602836484,Rural,Low,12.0,0.0,0.0,177.12291602836484,Rural,Low
US1CTHR0009,41.8029,-72.7767,WEST HARTFORD 2.7 NNW,12.0,10.0,83.33,159.67784085429687,Rural,High,12.0,2.0,16.67,159.67784085429687,Rural,High
